sensor_id,datetime_from,datetime_to,timestamp_rollup,value,metric_name,units
26098,2023-06-10T22:00:00Z,2023-06-11T22:00:00Z,daily,26.3,pm10,µg/m³
26098,2023-06-11T22:00:00Z,2023-06-12T22:00:00Z,daily,25.7,pm10,µg/m³
26098,2023-06-12T22:00:00Z,2023-06-13T22:00:00Z,daily,13.3,pm10,µg/m³
26098,2023-06-13T22:00:00Z,2023-06-14T22:00:00Z,daily,24.2,pm10,µg/m³
26098,2023-06-15T22:00:00Z,2023-06-16T22:00:00Z,daily,37.0,pm10,µg/m³
26098,2023-06-17T22:00:00Z,2023-06-18T22:00:00Z,daily,26.4,pm10,µg/m³
26098,2023-06-18T22:00:00Z,2023-06-19T22:00:00Z,daily,23.1,pm10,µg/m³
26098,2023-06-19T22:00:00Z,2023-06-20T22:00:00Z,daily,38.9,pm10,µg/m³
26098,2023-06-20T22:00:00Z,2023-06-21T22:00:00Z,daily,32.1,pm10,µg/m³
26098,2023-06-21T22:00:00Z,2023-06-22T22:00:00Z,daily,31.4,pm10,µg/m³
26098,2023-06-28T22:00:00Z,2023-06-29T22:00:00Z,daily,24.2,pm10,µg/m³
26098,2023-06-29T22:00:00Z,2023-06-30T22:00:00Z,daily,20.2,pm10,µg/m³
26098,2023-06-30T22:00:00Z,2023-07-01T22:00:00Z,daily,21.7,pm10,µg/m³
26098,2023-07-01T22:00:00Z,2023-07-02T22:00:00Z,daily,26.4,pm10,µg/m³
26098,2023-07-02T22:00:00Z,2023-07-03T22:00:00Z,daily,27.5,pm10,µg/m³
26098,2023-07-03T22:00:00Z,2023-07-04T22:00:00Z,daily,33.0,pm10,µg/m³
26098,2023-07-05T22:00:00Z,2023-07-06T22:00:00Z,daily,26.4,pm10,µg/m³
26098,2023-07-06T22:00:00Z,2023-07-07T22:00:00Z,daily,28.6,pm10,µg/m³
26098,2023-07-07T22:00:00Z,2023-07-08T22:00:00Z,daily,22.5,pm10,µg/m³
26098,2023-07-08T22:00:00Z,2023-07-09T22:00:00Z,daily,14.0,pm10,µg/m³
26098,2023-07-09T22:00:00Z,2023-07-10T22:00:00Z,daily,20.5,pm10,µg/m³
26098,2023-07-10T22:00:00Z,2023-07-11T22:00:00Z,daily,14.7,pm10,µg/m³
26098,2023-07-12T22:00:00Z,2023-07-13T22:00:00Z,daily,27.1,pm10,µg/m³
26098,2023-07-16T22:00:00Z,2023-07-17T22:00:00Z,daily,18.5,pm10,µg/m³
26098,2023-07-17T22:00:00Z,2023-07-18T22:00:00Z,daily,13.5,pm10,µg/m³
26098,2023-07-18T22:00:00Z,2023-07-19T22:00:00Z,daily,15.8,pm10,µg/m³
26098,2023-07-19T22:00:00Z,2023-07-20T22:00:00Z,daily,13.4,pm10,µg/m³
26098,2023-07-20T22:00:00Z,2023-07-21T22:00:00Z,daily,16.0,pm10,µg/m³
26098,2023-07-21T22:00:00Z,2023-07-22T22:00:00Z,daily,19.7,pm10,µg/m³
26098,2023-07-22T22:00:00Z,2023-07-23T22:00:00Z,daily,21.2,pm10,µg/m³
26098,2023-07-23T22:00:00Z,2023-07-24T22:00:00Z,daily,20.2,pm10,µg/m³
26098,2023-07-24T22:00:00Z,2023-07-25T22:00:00Z,daily,20.0,pm10,µg/m³
26098,2023-07-25T22:00:00Z,2023-07-26T22:00:00Z,daily,18.7,pm10,µg/m³
26098,2023-07-26T22:00:00Z,2023-07-27T22:00:00Z,daily,10.9,pm10,µg/m³
26098,2023-07-27T22:00:00Z,2023-07-28T22:00:00Z,daily,15.1,pm10,µg/m³
26098,2023-07-28T22:00:00Z,2023-07-29T22:00:00Z,daily,15.7,pm10,µg/m³
26098,2023-07-29T22:00:00Z,2023-07-30T22:00:00Z,daily,13.9,pm10,µg/m³
26098,2023-07-30T22:00:00Z,2023-07-31T22:00:00Z,daily,13.5,pm10,µg/m³
26098,2023-07-31T22:00:00Z,2023-08-01T22:00:00Z,daily,15.7,pm10,µg/m³
26098,2023-08-01T22:00:00Z,2023-08-02T22:00:00Z,daily,13.8,pm10,µg/m³
26098,2023-08-02T22:00:00Z,2023-08-03T22:00:00Z,daily,11.1,pm10,µg/m³
26098,2023-08-03T22:00:00Z,2023-08-04T22:00:00Z,daily,11.2,pm10,µg/m³
26098,2023-08-04T22:00:00Z,2023-08-05T22:00:00Z,daily,20.1,pm10,µg/m³
26098,2023-08-05T22:00:00Z,2023-08-06T22:00:00Z,daily,19.0,pm10,µg/m³
26098,2023-08-06T22:00:00Z,2023-08-07T22:00:00Z,daily,9.22,pm10,µg/m³
